1;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press
2;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada
3;Decision in Normandy;Carlo D'Este;1991;HarperPerennial
4;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;Farrar Straus Giroux
5;The Mummies of Urumchi;E. J. W. Barber;1999;W. W. Norton  Company
6;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group
7;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;Berkley Publishing Group
8;PLEADING GUILTY;Scott Turow;1993;Audioworks
9;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;Random House
10;Where You'll Find Me: And Other Stories;Ann Beattie;2002;Scribner
11;Nights Below Station Street;David Adams Richards;1988;Emblem Editions
12;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Adam Lebor;2000;Citadel Press
13;The Middle Stories;Sheila Heti;2004;House of Anansi Press
14;Jane Doe;R. J. Kaiser;1999;Mira Books
15;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;Health Communications
16;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;Brilliance Audio - Trade
17;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;Kensington Publishing Corp.
18;Goodbye to the Buttermilk Sky;Julia Oliver;1994;River City Pub
19;The Testament;John Grisham;1999;Dell
20;Beloved (Plume Contemporary Fiction);Toni Morrison;1994;Plume
21;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;Three Rivers Press
22;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;Ryland Peters  Small Ltd
23;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;Cypress House
24;Mary-Kate  Ashley Switching Goals (Mary-Kate and Ashley Starring in);Mary-Kate  Ashley Olsen;2000;HarperEntertainment
25;Tell Me This Isn't Happening;Robynn Clairday;1999;Scholastic
26;Flood : Mississippi 1927;Kathleen Duey;1998;Aladdin
27;Wild Animus;Rich Shapero;2004;Too Far
28;Airframe;Michael Crichton;1997;Ballantine Books
29;Timeline;MICHAEL CRICHTON;2000;Ballantine Books
30;OUT OF THE SILENT PLANET;C.S. Lewis;1996;Scribner
31;Prague : A Novel;ARTHUR PHILLIPS;2003;Random House Trade Paperbacks
32;Chocolate Jesus;Stephan Jaramillo;1998;Berkley Publishing Group
33;Wie Barney es sieht.;Mordecai Richler;2002;L�?¼bbe
34;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;Goldmann
35;Sturmzeit. Roman.;Charlotte Link;1991;Goldmann
36;Tage der Unschuld.;Richard North Patterson;2000;Goldmann
37;Lying Awake;Mark Salzman;2000;Alfred A. Knopf
38;To Kill a Mockingbird;Harper Lee;1988;Little Brown  Company
39;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002;Ballantine Books
40;Pigs in Heaven;Barbara Kingsolver;1993;Harpercollins
41;Miss Zukas and the Raven's Dance;Jo Dereske;1996;Avon
42;Pride and Prejudice;Jane Austen;1983;Bantam
43;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;Fireside
44;Downtown;Anne Rivers Siddons;1995;HarperTorch
45;Icebound;Dean R. Koontz;2000;Bantam Books
46;I'll Be Seeing You;Mary Higgins Clark;1994;Pocket
47;From the Corner of His Eye;Dean Koontz;2001;Bantam Books
48;Isle of Dogs;Patricia Cornwell;2002;Berkley Publishing Group
49;Purity in Death;J.D. Robb;2002;Berkley Publishing Group
50;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997;Dell
51;Proxies;Laura J. Mixon;1999;Tor Books
52;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;Tyndale House Publishers
53;The Street Lawyer;JOHN GRISHAM;1999;Dell
54;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;HarperCollins Publishers
55;All the King's Men;Robert Penn Warren;1982;Harvest Books
56;Pacific Northwest;Hans Johannes Hoefer;1985;Chambers Harrap Publishers Ltd
